059348597231739,940527533882824,FKQZRs,vQHICNIzCQo,,805439533588557,"YVwgJsK",,nBJHyzSRHoA,"ImAOOLUgOe"
762772994252742,393532131306365,JdDTGTHGKUa,"treD",,509163882763890,CZtInBneWbkEFYM,"DvErdeexCyG",zzlREGfDw,WCiQBGaceIBcFo
155935215421588,560315400064968,NAW,X,,888735227325390,malKGReHzphl,"HxZNxee","POswdv",grXAv
403586466596354,487855904447363,"urCrJwIaTAyh",,oOfNXyZcGdhgOx,673087994458187,"uctKFRMSAfu",,,"bZUr"
253030870463310,750410176544141,u,OrWryfb,"fMg",118029938409381,ewXDJZA,"EpSYtNfDHsPgG",hsMnuuXpQ,
124697367853365,682259190841418,"FZUHXhjr",bFNMGQRvUQgs,svORCV,331408055908405,,ejnaJSU,"OMrE",AM
176249977936138,462462625903021,IOPdblhKtvZ,ppTmcSiGThE,ReuvxiLXwXnXVmL,805320750476010,,L,"xuiozaVTqCw",
181668285361941,887460983803597,L,LuDCBJdgLhwW,"PfBI",927781565598760,Yk,zHmncclnNbpt,oitYZDZBoMYGT,"YzIa"
868381203713125,564363631616548,PHFnTJAANuCkb,kWQozyecZGa,AA,293363769312595,fOUWXWNlKZka,FstNJNmK,dDoGSRcFh,FyT
869874362637879,841005966019845,iTjaJZiEfRJ,xfry,"QGdLwDKp",712426808858862,ssrBkc,eFhVXKJ,AQrEW,zMiye
624918587390319,012536151985822,"oYKQOZQX","IfySQQmrGl","NnBBAOARhBWlYd",328897156052921,Xy,"WBvePSTRzO","cYGVRvCv",
100175259756614,271007953552751,H,MgxwmSZODL,,047538477812332,"rRYz","rFJPWgjw",AJbSac,"fuCbwtIZr"
718698351621134,711304575990043,Lh,pJbuUeJcRgJGQx,jQUvzTLNmzxmvFn,873590927455801,"LDWIhOZqzApFu",eiLBcSodcTeXno,ptHxTd,EW
480984725597733,207219860438022,"KfeWBIGep",,"XqrbpxoSqmOiuND",165252115040776,mEIfkfMFEUO,WkaLnXHoOtH,VnmSIYmD,rumQFvMqPUgMWK
847772903183986,504065624243235,"zZBp",G,vKQG,141142839995448,PHwymRKZvmr,q,"AkuKYI",XKgEblk
139300647860060,566320199877037,FPBG,"HTZY","hsMgTlYUEAI",387429228983748,,wOdhD,qKRaiPKGQfTBSO,BrUC
915613177117641,858920628829892,LVJsoxtuBAv,GgYewmGyYM,QWFvMSUWUHGS,064199207174683,wnBvQhpOOWl,WrINDx,"AZQmBTxDHhCev",fDkDUxekE
642704373527968,495317195810966,"UAo","rkZwiNKzLiBTzD","iPoTdHl",962378771836622,ca,cBMSoIezNTf,"sfGsuyGJGs",lBJ
563269674914428,456814569139448,gjgDDrstbRSb,"OIyP",IaSsRbNnWJORby,602793466434523,KddsXAUb,vDcyKhccbuu,ieTvFoOrt,"EdocWnGO"
646843532351043,947470084028375,DwIWDDvJAYn,,"LpsXEVPw",148191601442875,toXez,IvrebVlbEorlmg,UvfRiqPukR,HPiHNHcQ
853448591897554,350120082306776,bVgBNV,CyXCn,"YjhqUfdhLopigyb",217070217328456,nCkLUhhhwYzwUD,NtbMLUlAfyQh,icrOuCYh,
732630970671127,129386227062751,ZFVtQ,GkaQJfOhvaXcfED,"VEzKVjONU",000794614145112,"HnLnTBCDLgaM",YkRAovKalM,qoORLNhQRw,CzXpqLCwqQyacN
957526234036447,539054034074058,sKdundoZj,"L",btpXlUzItopWHv,462653864448075,RLPdSdLfCD,"JrwkCsGhH",hqJ,"vwki"
682238265026674,315998148896394,HABTFd,"CKYVbAlFwJDSbnq",NQlDRF,594016862347194,Er,lwaJ,vj,vYPvkonUmbqZBeq
336981334081541,029382757578012,"Ub",,"aFnAGdwSeW",838365214314281,rkMWkeC,fYmQWNVgdWjBS,XG,TovJCPTNJVUx
456494411616012,643593059433513,"TREBCG","uIytTIzJLibH",NyDIRpNPYqk,995550240756444,ksHzQLKSKRUK,"BMJY",KrMA,uCTyYl
403399300779401,868005150473596,LgvWedtsTbs,Xpvf,Ylz,991984165864313,reOyhbnw,WLJljZTOzwsF,"xNemyFAnL","QVJfAmRj"
133157388646647,298038719864596,BhtJUZqMU,IivNNn,ZzsnWbNBZ,980467516696190,qHB,"BotICVeIYObLGPt",FpgJEA,"jgSlFUqxf"
778504662174349,087483843115324,OrEz,"izBKUVWSEqBSJ",kwmdU,141460993572343,uHPpxTGmr,XtSwEC,NNQqgdm,"oImZQrgmKgNSKY"
591266124259419,173777139337987,GYPb,"D","se",173803227764914,vRDYIPnwwRiHZD,,RVx,IFiO
702583240029864,624036024226648,"KoBYFXhMP","tV",AKvAYWUKFWFt,221005454318808,d,mf,JbzKF,"YK"
625907578889004,040274819518122,Rmk,yNbD,LTZUv,054982455798757,"HY",CFBCIvBM,ihftKnKRQwzJTsC,
159356865652571,116935465315269,XAeQw,"wm",NwIxNSCcNeKq,933871856129416,"C",ODIk,CyAK,afnxVuxwsPdv
645372856718036,372278909938479,"TiiQLyhQVdOl",kv,zpxDktYix,949246936054838,oJYpdVmqd,"BME",hLxOqDIFDWYmR,CDXXIkdQ
025412840557213,995785751024849,aMdKy,ZpS,"FLcecvsNyJ",928180313126617,"muvyQsTnGcTPwB",aXDUK,DcWuE,"fBPZgZBkOqa"
900414964024356,107103510298405,"JqKIUKvITgon","sRYy",pienubjeuhZp,156706441851169,"DEQfoqhmvP",GCiehqSALLhV,"FnAKjf",hbKtbOOEresadjj
463773200298881,484057138734983,hjQUCSFRoJhQyoT,BVuKFfGqa,TfVNhk,888317764578243,F,gbDfsIIFGcIaYbC,lyosrEeFMLJTfj,sWTFlzrBBy
376114467389070,757932787284731,,EsUmNTegnX,nofWdAZpBGP,589929747816911,"lOcRAKqqAe","hf","wyMIUUbwAcN","LnnTdlw"
628047839473821,143663314949644,ubXXOWvuDulyFk,,fYedJUfE,725282138915626,rnkAGKQZC,rqfMaGad,hbOyfnQFp,
